x1,y1,z1,x2,y2,z2
1.95056,-0.801,4.28728,6.9669,26.812,3.76585
8.04876,26.812,4.66033,6.04899,-0.801,3.98334
1.2316,26.812,4.51063,5.78824,-0.801,3.61453
6.97829,26.812,3.25704,2.33513,-0.801,2.79661
1.46138,26.812,4.32946,6.61554,-0.801,4.08638
7.98381,26.812,5.01401,2.53099,-0.801,2.86787
3.268,-0.801,4.64533,1.869,26.812,3.87812
7.63549,26.812,4.75698,3.47673,-0.801,3.88715
7.05203,26.812,4.44957,3.48821,-0.801,3.01919
8.13783,-0.801,4.96355,5.87895,26.812,4.08234
3.2739,-0.801,4.83545,1.51136,26.812,3.77294
5.34242,26.812,5.01874,2.17701,-0.801,3.13184
5.33608,26.812,5.1768,5.42616,-0.801,3.09086
6.25608,26.812,5.20431,8.05682,-0.801,3.66599
1.54137,-0.801,3.61076,6.24515,26.812,3.20781
3.16501,-0.801,4.93184,2.07304,26.812,3.20192
2.99964,-0.801,3.97971,7.22935,26.812,2.89076
3.38809,26.812,4.49761,2.87425,-0.801,2.9637
8.15137,-0.801,4.73735,1.93738,26.812,3.70323
5.85424,26.812,4.67549,7.75996,-0.801,3.14828
6.83268,-0.801,4.33904,0.983543,26.812,3.33658
2.99652,-0.801,4.93614,5.42963,26.812,2.64126
5.41361,26.812,5.17146,1.69367,-0.801,3.03898
7.4166,26.812,3.58435,1.29176,-0.801,3.01283
2.96753,26.812,4.5163,2.80068,-0.801,2.75531
2.0856,26.812,4.78206,3.51032,-0.801,3.32946
1.39506,-0.801,5.16491,1.32841,26.812,4.78309
1.06961,26.812,3.83651,2.86433,-0.801,3.0936
2.59005,-0.801,4.02097,7.6411,26.812,3.52105
3.34889,26.812,4.09396,0.889633,-0.801,3.21745
3.48233,-0.801,5.21286,8.00566,26.812,3.8655
6.03011,-0.801,4.20951,2.50412,26.812,3.5646
1.80052,26.812,4.7455,2.47845,-0.801,2.98736
6.19263,-0.801,4.53,3.25767,26.812,3.90879
5.6883,26.812,5.16234,6.41478,-0.801,3.00029
1.44911,26.812,3.92486,7.07806,-0.801,3.31701
8.14895,26.812,4.39505,1.1898,-0.801,2.92523
8.06349,26.812,3.7559,2.59106,-0.801,3.50994
5.8201,26.812,5.05453,6.01822,-0.801,3.18751
5.80205,26.812,4.89619,5.83239,-0.801,2.88493
5.52164,-0.801,5.09642,6.39195,26.812,3.49204
1.54912,-0.801,3.41782,6.29967,26.812,2.76934
5.29232,26.812,4.62545,5.40713,-0.801,4.08008
1.66435,26.812,4.71822,3.01738,-0.801,3.28239
3.35978,-0.801,4.75035,2.2225,26.812,3.539
7.06865,26.812,3.44738,6.15648,-0.801,2.74405
6.60101,-0.801,5.06637,2.78632,26.812,3.35098
1.4767,26.812,3.98395,3.69828,-0.801,3.78193
3.1069,-0.801,4.86094,7.92205,26.812,4.4785
2.39276,26.812,5.16431,6.89573,-0.801,2.75082
3.508,26.812,5.07542,1.39363,-0.801,2.93571
1.53907,-0.801,4.09864,3.76604,26.812,3.04102
6.25954,26.812,5.1928,3.1125,-0.801,3.91502
2.60022,26.812,4.85965,1.0039,-0.801,4.24555
8.05808,26.812,4.48607,8.04398,-0.801,3.19666
6.55452,-0.801,4.11409,5.99735,26.812,3.27649
2.62603,-0.801,4.89755,2.37086,26.812,4.03875
1.98453,26.812,4.56111,7.776,-0.801,3.65643
5.68039,-0.801,4.90305,2.56209,26.812,3.46415
2.08943,26.812,3.79767,5.34302,-0.801,2.67666
2.77178,-0.801,4.80903,3.77296,26.812,4.39802
6.78765,-0.801,5.13103,2.05296,26.812,4.30036
2.22413,26.812,4.82352,1.68239,-0.801,4.66297
2.85041,26.812,4.7221,5.72839,-0.801,3.01472
5.25439,-0.801,5.03025,2.89489,26.812,3.20767
7.09672,26.812,5.05473,6.33567,-0.801,3.14474
7.49006,-0.801,4.29263,2.97405,26.812,2.67962
3.63437,26.812,5.16274,5.55367,-0.801,2.87821
6.56504,26.812,3.6836,6.45522,-0.801,3.48487
2.0549,-0.801,5.04543,0.920527,26.812,2.74931
6.38843,26.812,4.09444,5.38066,-0.801,2.70645
5.69224,26.812,4.83234,1.33131,-0.801,3.7158
5.64066,-0.801,3.78009,2.60527,26.812,2.67079
1.93856,-0.801,5.17176,6.53784,26.812,2.74225
7.2802,26.812,4.31253,7.7064,-0.801,3.06606
3.56222,-0.801,5.04443,2.83528,26.812,2.69008
6.66625,26.812,4.38533,1.5259,-0.801,3.86645
5.29231,-0.801,4.30283,6.36624,26.812,2.75667
7.1997,-0.801,4.31179,3.43318,26.812,3.01102
3.10104,26.812,4.64562,1.13953,-0.801,3.96984
2.7853,-0.801,3.78181,3.37079,26.812,2.91637
2.30932,26.812,5.05494,2.0889,-0.801,4.2397
