,x1,y1,z1,x2,y2,z2
244,0.23041,1.4803,14.925,0.4815,-11.78048,-9.273
245,0.4815,-11.78048,-9.273,0.23041,1.4803,14.925
246,0.23041,1.4803,14.925,-0.59207,3.22609,-14.637
247,-0.59207,3.22609,-14.637,0.23041,1.4803,14.925
248,0.23041,1.4803,14.925,4.04998,11.78099,-8.355
249,4.04998,11.78099,-8.355,0.23041,1.4803,14.925
250,0.23041,1.4803,14.925,-3.98983,13.77553,-4.395
251,-3.98983,13.77553,-4.395,0.23041,1.4803,14.925
252,0.23041,1.4803,14.925,14.18715,3.99885,-2.781
253,14.18715,3.99885,-2.781,0.23041,1.4803,14.925
254,0.23041,1.4803,14.925,9.08431,-7.11359,-9.585
255,9.08431,-7.11359,-9.585,0.23041,1.4803,14.925
256,0.23041,1.4803,14.925,4.06417,14.28495,-2.103
257,4.06417,14.28495,-2.103,0.23041,1.4803,14.925
258,0.23041,1.4803,14.925,11.90931,-6.56212,-6.333
259,11.90931,-6.56212,-6.333,0.23041,1.4803,14.925
260,0.86251,-1.29596,14.919,10.61088,10.45806,-1.743
261,10.61088,10.45806,-1.743,0.86251,-1.29596,14.919
262,0.86251,-1.29596,14.919,11.8341,1.03286,-9.159
263,11.8341,1.03286,-9.159,0.86251,-1.29596,14.919
264,0.86251,-1.29596,14.919,0.4815,-11.78048,-9.273
265,0.4815,-11.78048,-9.273,0.86251,-1.29596,14.919
266,0.86251,-1.29596,14.919,-0.59207,3.22609,-14.637
267,-0.59207,3.22609,-14.637,0.86251,-1.29596,14.919
268,0.86251,-1.29596,14.919,4.04998,11.78099,-8.355
269,4.04998,11.78099,-8.355,0.86251,-1.29596,14.919
270,0.86251,-1.29596,14.919,-3.98983,13.77553,-4.395
271,-3.98983,13.77553,-4.395,0.86251,-1.29596,14.919
272,0.86251,-1.29596,14.919,14.18715,3.99885,-2.781
273,14.18715,3.99885,-2.781,0.86251,-1.29596,14.919
274,0.86251,-1.29596,14.919,9.08431,-7.11359,-9.585
275,9.08431,-7.11359,-9.585,0.86251,-1.29596,14.919
276,0.86251,-1.29596,14.919,3.80936,14.45523,-1.239
277,3.80936,14.45523,-1.239,0.86251,-1.29596,14.919
278,0.86251,-1.29596,14.919,7.0073,13.26053,0.237
279,7.0073,13.26053,0.237,0.86251,-1.29596,14.919
280,-1.56622,0.38651,14.913,10.61088,10.45806,-1.743
281,10.61088,10.45806,-1.743,-1.56622,0.38651,14.913
282,-1.56622,0.38651,14.913,11.8341,1.03286,-9.159
